name,pose_handrail_pos_x,pose_handrail_pos_y,pose_handrail_pos_z,pose_handrail_euler_x,pose_handrail_euler_y,pose_handrail_euler_z,pose_inspection_pos_x,pose_inspection_pos_y,pose_inspection_pos_z,pose_inspection_euler_x,pose_inspection_euler_y,pose_inspection_euler_z,label
handrail 8.5 (1),4.01,0.5,3.95,1.57,-1.57,0,4.01,0.5,4.75,0,1.57,0,100
handrail 21.5 (1),4.01,-0.5,8.95,1.57,-1.57,0,4.01,-0.5,9.6,0,1.57,0,120
handrail 41.5 (1),5.02,0,13.95,1.57,-1.57,0,5.02,0,15,0,1.57,0,180
handrail 30 (1),6.09,0.5,18.95,1.57,-1.57,0,6.09,0.5,19.6,0,1.57,0,140
handrail 8.5 (2),6.09,0.5,23.95,1.57,-1.57,0,6.09,0.5,24.8,0,1.57,0,100
handrail 8.5 (3),2.94,0.4,28.95,1.57,-1.57,0,2.94,0.4,29.6,0,1.57,0,100
handrail 8.5 (4),2.94,-0.4,33.95,1.57,-1.57,0,2.94,-0.4,34.6,0,1.57,0,100
handrail 41.5 (2),1.3,-0.5,38.95,1.57,-1.57,1.57,1.3,-0.5,40,0,1.57,0,180
handrail 41.5 (3),1.3,0,43.95,1.57,-1.57,1.57,1.3,0,45,0,1.57,0,180
handrail 41.5 (4),2.94,-1.08,50,0,0,1.57,2.94,0,50,0,0,-1.57,180
handrail 21.5 (2),6.09,-1.08,55.6,0,0,1.57,6.09,0,55.6,0,0,-1.57,120
handrail 8.5 (5),6.09,-1.08,59.6,0,0,1.57,6.09,0,59.6,0,0,-1.57,100
handrail 30 (2),5.02,-1.08,64.6,0,0,1.57,5.02,0,64.6,0,0,-1.57,140
handrail 21.5 (3),5.02,-1.08,70.65,0,0,1.57,5.02,0,70.65,0,0,-1.57,120
handrail 30 (3),7.16,-1.08,74.6,0,0,1.57,7.16,0,74.6,0,0,-1.57,140
handrail 8.5 (6),7.16,-1.08,80.5,0,0,1.57,7.16,0,80.5,0,0,-1.57,100
handrail 8.5 (7),7.16,-1.08,85.8,0,0,1.57,7.16,0,85.8,0,0,-1.57,100
handrail 30 (4),2.94,1.08,90,0,0,-1.57,2.94,0,90,0,0,1.57,140
handrail 30 (5),1.87,1.08,95.5,0,0,-1.57,1.87,0,95.5,0,0,1.57,140
handrail 30 (6),7.16,1.08,100.4,0,0,-1.57,7.16,0,100.4,0,0,1.57,140
handrail 21.5 (4),7.16,1.08,104.5,0,0,-1.57,7.16,0,104.5,0,0,1.57,120
handrail 21.5 (5),5.02,1.08,109.8,0,0,-1.57,5.02,0,109.8,0,0,1.57,120
handrail 21.5 (6),5.02,1.08,115.6,0,0,-1.57,5.02,0,115.6,0,0,1.57,120
handrail 21.5 (7),1.87,1.08,119.43,0,0,-1.57,1.87,0,119.43,0,0,1.57,120
