0,129,41,129,41,152,0,152
841,145,904,148,903,164,840,162
492,148,599,148,599,171,492,171
847,162,897,162,897,179,847,179
1194,166,1313,166,1313,189,1194,189
507,173,565,173,565,192,507,192
853,177,887,177,887,194,853,194
252,331,317,331,317,348,252,348
409,388,511,388,511,413,409,413
1089,402,1189,402,1189,430,1089,430
277,423,296,423,296,436,277,436
421,421,475,421,475,440,421,440
488,427,507,427,507,440,488,440
1281,440,1319,440,1319,457,1281,457
175,484,200,484,200,530,175,530
