Type,Name,URL,License,Modified?,Notes
Library (external),MVS-Texturing, https://github.com/nmoehrle/mvs-texturing.git,BSD 3-Clause License,YES,for geometric mapper just awaiting pull request to be accepted
Library (external),libgp,https://github.com/mblum/libgp,BSD-3-Clause License,NO,used for volumetric mapper
Library (external),https://github.com/bmegli/wifi-scan,MPL-2.0 License,YES,modified to the point we refactored all their code
Library (external),pytorch,https://github.com/pytorch/pytorch,Modified BSD license,NO,used for image classification

Library (external),astrobee,https://github.com/nasa/astrobee,Apache-2.0 License,NO,None

Library (external),Google Test: Google's C++ test framework,https://github.com/google/googletest ,BSD-3-Clause,NO,None
Library (external),Lua config reader,http://www.cs.cmu.edu/~coral/projects/localization/source.html,GNU LGPLv2.1,YES,Substantial modifications
Library (updating),Ceres Solver,http://ceres-solver.org,BSD-3-Clause,YES,Moving to system library
Library (updating),Eigen: a C++ template library for linear algebra,http://eigen.tuxfamily.org,MLP2,NO,Moving to system library
Library (updating),OpenCV: Open Source Computer Vision,http://opencv.org,BSD-3-Clause,YES,Moving to system library

Library (system),Robotics Operating System (ROS),http://www.ros.org ,BSD-3-Clause, NO,None
Library (system),Glog: C++ implementation of the Google logging module,https://github.com/google/glog ,BSD-3-Clause,NO,None
Library (system),Protobuf-c compiler,https://github.com/protobuf-c/protobuf-c ,BSD-2-Clause,NO,None
Library (system),Gflags: a C++ library that processes commandline flags,https://github.com/gflags/gflags ,BSD-3-Clause,NO,None
Library (system),Boost: peer-reviewed portable C++ source libraries,http://www.boost.org ,Boost Software License,NO,None
Library (system),Luajit-cpp: A C++ JIT compiler for the Lua language,https://github.com/cslarsen/luajit-cpp ,Public domain,NO,None
Library (system),gazebo: C++ robot simulator,http://gazebosim.org,Apache 2.0,NO,None
Library (system),libmnl,https://git.netfilter.org/libmnl/,LGPLv2.1+,NO,None

ROS package,ros_core,https://github.com/ros/metapackages,BSD-3-Clause,NO,None
ROS package,common_msgs,https://github.com/ros/common_msgs ,BSD-3-Clause,NO,None
ROS package,nodelet,https://github.com/ros/nodelet_core,BSD-3-Clause,NO,None
ROS package,pluginlib,https://github.com/ros/pluginlib,BSD-3-Clause,NO,None
ROS package,actionlib,https://github.com/ros/actionlib,BSD-3-Clause,NO,None
ROS package,geometry2,https://github.com/ros/geometry2 ,BSD-3-Clause,NO,None
ROS package,rviz,https://github.com/ros-visualization/rviz,BSD-3-Clause,NO,None
ROS package,rqt,https://github.com/ros-visualization/rqt,BSD-3-Clause,NO,None
ROS package,rqt_common_plugins,https://github.com/ros-visualization/rqt_common_plugins ,BSD-3-Clause,NO,None
ROS package,rqt_robot_plugins,https://github.com/ros-visualization/rqt_robot_plugins ,BSD-3-Clause,NO,None
ROS package,ros_comm,https://github.com/ros/ros_comm ,BSD-3-Clause,NO,None
ROS package,gazebo_ros_pkgs,https://github.com/ros-simulation/gazebo_ros_pkgs,BSD/LGPL/Apache 2.0,NO,None
ROS package,vision_opencv,https://github.com/ros-perception/vision_opencv,BSD-3-Clause,NO,None
ROS package,catkin,https://github.com/catkin/catkin_tools,Apache-2.0 License,NO,None
ROS package,pcl,https://github.com/ros-gbp/pcl-release,BSD license,NO,None

Build tool,GCC / G++ / OpenMP,http://www.openmp.org ,GPLv3,NO,None
Build tool,Doxygen,http://www.stack.nl/~dimitri/doxygen,GPLv2,NO,None
