236,609,288,609,288,645,236,645
543,609,594,609,594,645,543,645
830,635,873,635,873,663,830,663
1096,661,1145,661,1145,682,1096,682
1147,663,1186,663,1186,684,1147,684
1190,669,1198,669,1198,684,1190,684
1160,725,1198,725,1198,736,1160,736
538,736,570,736,570,755,538,755
540,761,564,761,564,774,540,774
1170,853,1198,853,1198,879,1170,879
178,922,240,926,239,940,177,936
11,934,48,920,53,933,16,947
726,935,781,932,782,951,727,954
0,937,15,937,15,950,0,950
690,937,725,937,725,956,690,956
166,941,202,941,202,967,166,967
718,997,790,990,792,1009,720,1016
690,999,720,999,720,1014,690,1014
573,1025,613,1025,613,1042,573,1042
1164,1123,1198,1123,1198,1149,1164,1149
905,1149,935,1149,935,1162,905,1162
864,1151,903,1151,903,1164,864,1164
785,1156,819,1156,819,1170,785,1170
718,1158,783,1158,783,1173,718,1173
125,1170,157,1170,157,1192,125,1192
