210,102,308,102,308,148,210,148
491,102,555,106,552,147,489,143
807,110,860,110,860,144,807,144
331,118,386,118,386,150,331,150
1093,133,1137,133,1137,162,1093,162
803,235,835,235,835,254,803,254
803,258,828,258,828,273,803,273
872,319,897,319,897,354,872,354
459,423,505,423,505,438,459,438
249,443,314,418,319,432,254,457
990,434,1045,430,1047,449,991,453
953,436,989,436,989,455,953,455
432,438,465,438,465,465,432,465
981,495,1053,489,1055,509,983,514
956,498,983,498,983,515,956,515
839,526,872,526,872,540,839,540
31,611,87,611,87,632,31,632
131,613,215,616,214,642,130,639
1171,647,1198,647,1198,661,1171,661
1129,649,1166,649,1166,663,1129,663
991,657,1047,657,1047,672,991,672
85,659,116,659,116,680,85,680
388,668,423,668,423,693,388,693
48,876,79,876,79,891,48,891
95,985,147,940,161,955,108,1001
