607,20,633,20,633,54,607,54
1168,50,1198,50,1198,80,1168,80
195,123,241,123,241,138,195,138
-1,139,48,121,53,134,3,152
726,135,781,131,783,151,727,154
690,136,725,136,725,155,690,155
166,140,202,140,202,166,166,166
718,196,790,191,792,209,720,214
690,198,720,198,720,215,690,215
573,225,611,225,611,241,573,241
1162,320,1198,320,1198,348,1162,348
903,346,935,346,935,363,903,363
862,348,903,348,903,363,862,363
783,354,862,350,863,366,783,370
718,356,783,356,783,373,718,373
125,369,161,369,161,395,125,395
346,382,380,382,380,406,346,406
1173,448,1198,448,1198,474,1173,474
1181,496,1198,496,1198,519,1181,519
346,829,446,831,446,857,346,854
894,851,1005,851,1005,875,894,875
0,858,41,858,41,875,0,875
911,877,969,877,969,894,911,894
654,1033,720,1033,720,1050,654,1050
183,1078,258,1078,258,1100,183,1100
811,1093,916,1093,916,1117,811,1117
153,1110,181,1110,181,1126,153,1126
673,1126,701,1126,701,1140,673,1140
825,1125,879,1125,879,1143,825,1143
888,1128,911,1128,911,1143,888,1143
